事	亊
蕭	䔥
儼	𠑊
倆	𠈓
瞞	𥈞
懣	𢡛
貮	弐
貳	弐
撈	𢭐
卮	巵
髡	髠
個	個 ヶ
瀰	㳽
箋	䇳
剾	𠛅
勁	𠡍
卒	卆
啐	𠯥
囋	𡂐
埣	𡉻
塿	𪣻
壗	𡋤
壠	𡏡
孻	𡥧
寠	𪧘
嶞	𡺆
挳	𢫞
捽	𢪄
撥	𫝼
擣	𢭏
攏	𢲣
斅	𢽾
晬	𣅢
櫷	𪳥
欓	𣗋
灙	𣺼
烴	𤇂
硜	𥑋
篸	𥮾
縷	𫃵
脛	𦙾
臍	𦜝
蕟	𫈴
謳	𧦅
讜	𧫆
貗	𫎌
踁	𨀃
躋	𨂋
轝	𨊮
遱	𫐷
鋞	𫒔
鏒	𨨕
鏤	𨩐
陘	𫔽
隮	𫕅
隴	𨻫
麬	𤿲
鼬	𫠘
𩯁	𫙂
乘	乗
亂	乱
亙	亘
亞	亜
仿	倣
佔	占
佛	仏
來	来
俠	侠
俱	倶
倅	伜
值	値
假	仮
傳	伝
傴	伛
僂	偻
僞	偽
價	価
儉	倹
儔	俦
儕	㑪
儘	侭
儹	儧
儻	傥
兒	児 ㇽ
兔	兎
內	内
兩	両
册	冊
冰	氷
凜	凛
剁	刴
剝	剥
剩	剰
劍	剣
劑	剤
勞	労
勱	劢
勳	勲
勵	励
勸	勧
區	区
卷	巻
卻	却
厲	厉
參	参
吞	呑
吳	呉
呣	嘸
麪	麺
咒	呪
啞	唖
單	単
嘍	喽
嘔	呕
嘜	唛
噓	嘘
嚙	噛
嚮	向
嚴	厳
囑	嘱
圈	圏
國	国
圍	囲
圓	円
圖	図
團	団
垛	垜
埓	埒
堯	尭
增	増
墮	堕
壓	圧
壘	塁
壞	壊
壤	壌
壯	壮
壹	壱
壺	壷
壽	寿
奧	奥
奩	奁
奬	奨
妝	粧
姊	姉
姬	姫
娛	娯
媼	媪
嫗	妪
孃	嬢
學	学
寢	寝
實	実
寫	写
寬	寛
寶	宝
將	将
專	専
對	対
屆	届
屢	屡
屬	属
峽	峡
崢	峥
嵾	㟥
嶁	嵝
嶇	岖
嶼	屿
嶽	岳
巑	㠝
巖	巌
巢	巣
帶	帯
幓	㡎
幬	帱
廢	廃
廣	広
廳	庁
强	強
彈	弾
彌	弥
彎	弯
彥	彦
徑	径
從	従
徠	徕
徵	徴
德	徳
恆	恒
悅	悦
悴	忰
惠	恵
惡	悪
惱	悩
慍	愠
慘	惨
慪	怄
慺	㥪
慾	欲
應	応
懤	㤽
懷	懐
懺	懴
戀	恋
戰	戦
戲	戯
戶	戸
戾	戻
拂	払
拔	抜
拜	拝
挾	挟
掙	挣
插	挿
揭	掲
搔	掻
搖	揺
搜	捜
搵	揾
摑	掴
摟	搂
摳	抠
摻	掺
擇	択
擊	撃
擔	担
據	拠
擠	㨈
擧	挙
擴	拡
攜	携
攝	摂
攢	攅
攪	撹
收	収
效	効
敕	勅
敘	叙
數	数
斆	敩
斷	断
晉	晋
晚	晩
晝	昼
曆	暦
曉	暁
曠	昿
曾	曽
會	会
朵	朶
查	査
栃	杤
栅	柵
桌	卓
桝	枡
條	条
棧	桟
椊	枠
榮	栄
榲	榅
槮	椮
樂	楽
樓	楼
樞	枢
樣	様
橢	楕
橫	横
檜	桧
檢	検
檮	梼
檳	梹
櫟	檪
櫠	廃
櫨	枦
櫳	槞
櫻	桜
權	権
欑	櫕
歐	欧
歟	欤
歡	歓
步	歩
歧	岐
歲	歳
歷	歴
歸	帰
殘	残
殲	殱
殼	殻
毆	殴
每	毎
毿	毵
毿	毶
氛	雰
氣	気
污	汚
沒	没
涉	渉
淚	涙
淥	渌
淨	浄
淬	㳃
淺	浅
渴	渇
溪	渓
溫	温
溼	湿
滯	滞
滲	渗
滿	満
漊	溇
漚	沤
潑	溌
潛	潜 濳
澀	渋
澁	渋
澤	沢
濕	湿
濜	浕
濟	済
濤	涛
濱	浜
瀆	涜
瀧	滝
瀨	瀬
灌	潅
灒	濽
灣	湾
焰	焔
熅	煴
燈	灯
燒	焼
營	営
燼	烬
燾	焘
爐	炉
爭	争
爲	為
爾	尓
牀	床
犧	犠
狀	状
狹	狭
猙	狰
獎	奨
獨	独
獵	猟
獸	獣
獻	献
瑤	瑶
瓔	珱
瓚	瓉
瓣	弁
甌	瓯
產	産
畫	画
當	当
疇	畴
疊	畳
疏	疎
瘁	疩
瘦	痩
瘮	瘆
瘻	瘘
癈	㾱
癘	疠
癡	痴
發	発
盜	盗
盡	尽
眍	眍
眞	真
眾	衆
睜	睁
瞜	䁖
碎	砕
磣	碜
礦	砿
礦	鉱
礪	砺
祕	秘
祿	禄
禪	禅
禮	礼
禰	祢
禱	祷
稅	税
稱	称
稻	稲
穇	䅟
穎	頴
穗	穂
穩	穏
穰	穣
窗	窓
窶	窭
竈	竃
竊	窃
箏	筝
簍	篓
簞	箪
籌	筹
籠	篭
粹	粋
糝	糁
絕	絶
絲	糸
經	経
綠	緑
綷	紣
緣	縁
縕	緼
縣	県
縱	縦
總	総
繡	繍
繩	縄
繪	絵
繫	繋
繼	継
纃	緕
續	続
纖	繊
纘	纉
缺	欠 缺
欠缺	欠缺
罐	缶
翠	翆
襷	𧜎
耬	耧
聯	連
聰	聡
聲	声
聽	聴
肅	粛
脣	唇
脫	脱
腦	脳
腳	脚
膃	腽
膽	胆
臟	臓
臺	台
與	与
舉	挙
舊	旧
舍	舎
舖	舗
艫	舮
艷	艶
莊	荘 庄
莖	茎
萊	莱
萬	万
蒕	蒀
蔘	参
蔞	蒌
蔣	蒋
薰	薫
薵	䓓
薺	萕
藎	荩
藏	蔵
藝	芸
藥	薬
藪	薮
蘂	蕊
蘆	芦
處	処
虛	虚
號	号
蛵	蛏
螢	蛍
螻	蝼
蟬	蝉
蟲	虫
蠅	蝿
蠆	虿
蠟	蝋
蠣	蛎
蠶	蚕
蠻	蛮
裝	装
褸	褛
襄	㐮
襌	褝
覺	覚
覽	覧
觀	観
觸	触
說	説
諫	諌
謠	謡
證	証
譖	譛
譯	訳
譽	誉
讀	読
變	変
讓	譲
讚	讃
豐	豊
豫	予
豬	猪
貓	猫
貙	䝙
貳	弐
賣	売
賤	賎
賴	頼
贊	賛
贐	䝲
趲	䟎
跺	跥
踐	践
躉	趸
躊	踌
躲	躱
軀	躯
輕	軽
輛	輌
轀	輼
轉	転
轟	軣
辨	弁
辭	辞
辯	弁
遙	遥
遞	逓
遲	遅
邁	迈
邇	迩
邊	辺
鄉	郷
鄕	郷
酇	鄼
醉	酔
醞	醖
醫	医
醬	醤
醱	醗
釀	醸
釋	釈
銳	鋭
錄	録
錢	銭
鍊	錬
鐵	鉄
鐸	鈬
鑄	鋳
鑛	鉱
鑪	鈩
鑽	鑚
钂	鎲
閱	閲
關	関
附	付
陷	陥
隨	随
險	険
隯	陦
隱	隠
隸	隷
雙	双
雜	雑
雞	鶏
霸	覇
靈	霊
靜	静
靱	靭
頰	頬
頸	頚
顏	顔
顯	顕
餘	余
馱	駄
騷	騒
驅	駆
驒	騨
驗	験
驛	駅
髏	髅
髓	髄
體	体
髮	髪
鬥	闘
鬪	闘
鰮	鰛
鰺	鯵
鶫	鶇
鶯	鴬
鷄	鶏
鷗	鴎
鹼	鹸
鹽	塩
麥	麦
麩	麸
麴	麹
麵	麺
黃	黄
黑	黒
默	黙
點	点
黨	党
黲	黪
鼠	鼡
齊	斉
齋	斎
齒	歯
齡	齢
齧	噛
龍	竜
龜	亀
龝	穐
粵	粤
鄰	隣
勞動	労働
