傻	儍
溈	潙
媯	嬀
偽	僞
真	眞
慎	愼
填	塡
瑱	瑱
滇	滇
槙	槇
顛	顚
鎮	鎭
青	靑
精	精
晴	晴
靖	靖
清	淸
喻	喩
偷	偸
俞	兪
媮	婾
榆	楡
即	卽
唧	喞
節	節
既	旣
溉	漑
概	槪
慨	慨
鄉	鄕
響	響
郎	郞
廊	廊
朗	朗
开	幵
并	幷
併	倂
餅	餠
迸	逬
帡	帲
拼	拼
瓶	甁
屏	屛
塀	塀
箳	簈
胼	腁
駢	騈
訮	詽
邢	郉
研	硏
妍	姸
荆	荊
緑	綠
録	錄
尚	尙
説	說
兑	兌
贈	贈
憎	憎
層	層
僧	僧
者	者
暑	暑
署	署
緒	緖
諸	諸
著	著
都	都
渚	渚
免	免
值	値
熙	煕
晚	晩
賬	帳
樑	梁
褒	襃
鋭	銳
悦	悅
税	稅
説	說
嫻	嫺
鐧	鐗
虱	蝨
塚	冢
雑	雜
虜	虜
届	屆
#留	畱
#榴	橊
#瘤	癅
#溜	澑
#柳	栁 桺
#瑠	璢
冗	宂
産	產
教	敎
匀	勻
令	令
刃	刄
仞	仭
劒	劔
丢	丟
虚	虛
卧	臥
秘	祕
匆	悤
咒	呪
毁	毀
叙	敍
凛	凜
皂	皁
紥	紮
島	㠀
蚊	蟁
侵	㑴
願	𩕾
迴	𢌞
回	囘
裴	裵
查	査
衛	衞
飠	𩙿
飲	飮
飯	飯
飼	飼
館	館
餩	餩
鬥	鬥 鬭
闘	鬭
暨	曁
難	難
逸	逸
海	海
漢	漢
祝	祝
祖	祖
練	練
錬	鍊
社	社
禍	禍
卑	卑
難	難
勉	勉
場	塲
录	彔
絕	絶
